soilRastID,MUID,SEQN,SNAM,S5ID,CMPPCT,NLAYERS,HYDGRP,SOL_ZMX,ANION_EXCL,SOL_CRK,TEXTURE,SOL_Z1,SOL_BD1,SOL_AWC1,SOL_K1,SOL_CBN1,CLAY1,SILT1,SAND1,ROCK1,SOL_ALB1,USLE_K1,SOL_EC1,SOL_Z2,SOL_BD2,SOL_AWC2,SOL_K2,SOL_CBN2,CLAY2,SILT2,SAND2,ROCK2,SOL_ALB2,USLE_K2,SOL_EC2,SOL_Z3,SOL_BD3,SOL_AWC3,SOL_K3,SOL_CBN3,CLAY3,SILT3,SAND3,ROCK3,SOL_ALB3,USLE_K3
45,,,gsp-gc,,1,3,C,1000,0.5,0.5,gsp-gc-gc,250,1.67,0.18,7.5,0.3,9,31.6,59.4,0,0.22,0.1,0,750,1.7,0.1,7.5,0.2,18.7,50.6,30.7,0,0.17,0.1,0,1500,1.7,0.1,7.5,0.2,18.7,50.6,30.7,0,0.17,0.1
47,,,pgl-gs,,1,3,B,1000,0.5,0.5,pgl-pgl-gs,250,1.5,0.13,20,1.45,7,9,84,0,0.2,0.16,0,750,1.65,0.13,40,0.52,7,9,84,0,0.2,0.13,0,1500,1.78,0.14,2.5,0.12,18,16,66,0,0.16,0.17
48,,,pglp-pl,,1,3,B,1000,0.5,0.5,pglp-pl-pl,250,1.56,0.13,20,1.45,7,9,84,0,0.2,0.16,0,750,1.5,0.19,90,0.8,30,10,40,10,0.16,0.15,0,1500,1.51,0.15,80,0.2,30,15,35,20,0.16,0.15
49,,,gc,,1,3,D,1000,0.5,0.5,gc-gc-gc,250,1.73,0.11,7.5,0.3,18.7,58.6,22.7,0,0.17,0.1,0,750,1.7,0.1,7.5,0.2,18.7,50.6,30.7,0,0.17,0.1,0,1500,1.7,0.1,7.5,0.2,18.7,50.6,30.7,0,0.17,0.1
50,,,pglp-pl,,1,3,B,1000,0.5,0.5,pglp-pglp-pl,250,1.56,0.13,20,1.45,7,9,84,0,0.2,0.16,0,750,1.66,0.13,18,0.7,7,9,84,0,0.16,0.15,0,1500,1.51,0.15,80,0.2,30,15,35,20,0.16,0.15
53,,,pgmp-gl,,1,3,B,1000,0.5,0.5,pgmp-gl-gl,250,1.53,0.12,5,1.45,9,13,78,0,0.2,0.17,0,750,1.56,0.13,2.42,0.6,11.2,26.9,67.8,0,0.16,0.15,0,1500,1.62,0.11,2.3,0.4,11.2,26.9,67.8,0,0.16,0.15
54,,,pgl-ps,,1,3,B,1000,0.5,0.5,pgl-ps-ps,250,1.5,0.13,20,1.45,7,9,84,0,0.2,0.16,0,750,1.55,0.11,45,0.29,5,6,89,0,0.22,0.1,0,1500,1.63,0.09,40,0.06,5,6,89,0,0.22,0.1
59,,,pgl-ps-pl,,1,3,B,1000,0.5,0.5,pgl-ps-pl,250,1.5,0.13,20,1.45,7,9,84,0,0.2,0.16,0,750,1.55,0.11,45,0.29,5,6,89,0,0.22,0.1,0,1500,1.51,0.15,80,0.2,30,15,35,20,0.16,0.15
60,,,ms,,1,3,B,1000,0.5,0.5,ms-ms-ms,250,0.4,0.34,120,40,80,0,0,0,0.01,0.03,0,750,0.68,0.3,120,36,80,0,0,0,0.01,0.01,0,1500,0.65,0.28,120,32,80,0,0,0,0.01,0.01
61,,,plp,,1,3,B,1000,0.5,0.5,plp-plp-plp,200,1.35,0.19,1.8,2,22,30,48,0,0.16,0.17,0,750,1.5,0.19,80,0.8,30,10,40,10,0.16,0.15,0,1500,1.51,0.15,70,0.2,30,15,35,20,0.16,0.15
64,,,pgl-ps,,1,3,B,1000,0.5,0.5,pgl-pgl-ps,250,1.5,0.13,20,1.45,7,9,84,0,0.2,0.16,0,750,1.65,0.13,40,0.52,7,9,84,0,0.2,0.13,0,1500,1.63,0.09,40,0.06,5,6,89,0,0.22,0.1
65,,,plz-gl,,1,3,C,1000,0.5,0.5,plz-plz-gl,250,1.56,0.12,17,0.89,1,90,9,0,0.24,0.08,0,750,1.61,0.12,13,0.68,1,90,9,0,0.24,0.08,0,1500,1.62,0.11,2.3,0.4,11.2,26.9,67.8,0,0.16,0.15
72,,,gl-gs,,1,3,C,1000,0.5,0.5,gl-gl-gs,250,1.51,0.15,2.52,0.7,11.2,26.9,67.8,0,0.16,0.15,0,750,1.56,0.13,2.42,0.6,11.2,26.9,67.8,0,0.16,0.15,0,1500,1.78,0.14,2.5,0.12,18,16,66,0,0.16,0.17
76,,,pgl-gs,,1,3,B,1000,0.5,0.5,pgl-gs-gs,250,1.5,0.13,20,1.45,7,9,84,0,0.2,0.16,0,750,1.67,0.18,7.5,0.3,9,31.6,59.4,0,0.22,0.1,0,1500,1.78,0.14,2.5,0.12,18,16,66,0,0.16,0.17
77,,,pgm-pl,,1,3,B,1000,0.5,0.5,pgm-pgm-pl,250,1.5,0.12,5,1.45,9,13,78,0,0.2,0.17,0,750,1.57,0.11,5,1.2,9,13,78,0,0.2,0.17,0,1500,1.61,0.09,80,0.89,2,4,94,0,0.24,0.08
79,,,plz-ps,,1,3,C,1000,0.5,0.5,plz-plz-ps,250,1.56,0.12,17,0.89,1,90,9,0,0.24,0.08,0,750,1.61,0.12,13,0.68,1,90,9,0,0.24,0.08,0,1500,1.63,0.09,40,0.06,5,6,89,0,0.22,0.1
80,,,M-pgl,,1,3,A,1000,0.5,0.5,M-pgl-pgl,250,0.7,0.3,252,17.4,5,6,89,0,0.22,0.1,0,750,1.65,0.13,40,0.52,7,9,84,0,0.2,0.13,0,1500,1.65,0.13,40,0.52,7,9,84,0,0.2,0.13
83,,,glp-gs,,1,3,C,1000,0.5,0.5,glp-gs-gs,250,1.51,0.2,1.8,2,12.2,30,63.8,0,0.16,0.18,0,750,1.67,0.18,7.5,0.3,9,31.6,59.4,0,0.22,0.1,0,1500,1.78,0.14,2.5,0.12,18,16,66,0,0.16,0.17
86,,,glp-gs,,1,3,B,1000,0.5,0.5,glp-glp-gs,250,1.51,0.2,1.8,2,12.2,30,63.8,0,0.16,0.18,0,750,1.51,0.18,1.8,2,12.2,30,63.8,0,0.16,0.15,0,1500,1.78,0.14,2.5,0.12,18,16,66,0,0.16,0.17
87,,,gl-gc,,1,3,C,1000,0.5,0.5,gl-gc-gc,250,1.51,0.15,2.52,0.7,11.2,26.9,67.8,0,0.16,0.15,0,750,1.7,0.1,7.5,0.2,18.7,50.6,30.7,0,0.17,0.1,0,1500,1.7,0.1,7.5,0.2,18.7,50.6,30.7,0,0.17,0.1
91,,,plz-gl,,1,3,C,1000,0.5,0.5,plz-gl-gl,250,1.56,0.12,17,0.89,1,90,9,0,0.24,0.08,0,750,1.56,0.13,2.42,0.6,11.2,26.9,67.8,0,0.16,0.15,0,1500,1.62,0.11,2.3,0.4,11.2,26.9,67.8,0,0.16,0.15
94,,,glp-gsp,,1,3,C,1000,0.5,0.5,glp-gsp-gsp,250,1.51,0.2,1.8,2,12.2,30,63.8,0,0.16,0.18,0,750,1.67,0.18,7.5,0.3,9,31.6,59.4,0,0.22,0.1,0,1500,1.78,0.14,2.5,0.12,18,16,66,0,0.16,0.17
101,,,pgm-pl,,1,3,B,1000,0.5,0.5,pgm-pl-pl,250,1.55,0.15,10.8,1.28,7,9,84,0,0.2,0.13,0,750,1.5,0.19,90,0.8,30,10,40,10,0.16,0.15,0,1500,1.51,0.15,80,0.2,30,15,35,20,0.16,0.15
104,,,pgmp-gs,,1,3,B,1000,0.5,0.5,pgmp-gs-gs,250,1.53,0.12,5,1.45,9,13,78,0,0.2,0.17,0,750,1.67,0.18,7.5,0.3,9,31.6,59.4,0,0.22,0.1,0,1500,1.78,0.14,2.5,0.12,18,16,66,0,0.16,0.17
105,,,pgs,,1,3,B,1000,0.5,0.5,pgs-pgs-pgs,250,1.5,0.13,20,1.45,7,9,84,0,0.2,0.16,0,750,1.65,0.13,40,0.52,7,9,84,0,0.2,0.13,0,1500,1.65,0.13,40,0.52,7,9,84,0,0.2,0.13
106,,,plz-pgl,,1,3,C,1000,0.5,0.5,plz-plz-pgl,250,1.56,0.12,17,0.89,1,90,9,0,0.24,0.08,0,750,1.61,0.12,13,0.68,1,90,9,0,0.24,0.08,0,1500,1.65,0.13,40,0.52,7,9,84,0,0.2,0.13
109,,,pglp-glp,,1,3,B,1000,0.5,0.5,pglp-glp-glp,250,1.56,0.13,20,1.45,7,9,84,0,0.2,0.16,0,750,1.51,0.18,1.8,2,12.2,30,63.8,0,0.16,0.15,0,1500,1.51,0.16,1.8,0.3,12.2,30,63.8,0,0.16,0.15
112,,,pli-gs,,1,3,D,1000,0.5,0.5,pli-gs-gs,250,1.27,0.23,17,2.11,18,67,15,0,0.1,0.49,0,750,1.67,0.18,7.5,0.3,9,31.6,59.4,0,0.22,0.1,0,1500,1.78,0.14,2.5,0.12,18,16,66,0,0.16,0.17
114,,,pgm-pgl,,1,3,C,1000,0.5,0.5,pgm-pgl-pgl,250,1.55,0.15,10.8,1.28,7,9,84,0,0.2,0.13,0,750,1.65,0.13,40,0.52,7,9,84,0,0.2,0.13,0,1500,1.65,0.13,40,0.52,7,9,84,0,0.2,0.13
115,,,pgmp-pl,,1,3,B,1000,0.5,0.5,pgmp-pgmp-pl,250,1.53,0.12,5,1.45,9,13,78,0,0.2,0.17,0,750,1.63,0.11,4.5,0.7,9,13,78,0,0.16,0.15,0,1500,1.51,0.15,80,0.2,30,15,35,20,0.16,0.15
116,,,pli-ps,,1,3,D,1000,0.5,0.5,pli-pli-ps,250,1.27,0.23,17,2.11,18,67,15,0,0.1,0.49,0,750,1.35,0.23,9,0.97,20,58,22,0,0.2,0.43,0,1500,1.63,0.09,40,0.06,5,6,89,0,0.22,0.1
119,,,plz-gs,,1,3,C,1000,0.5,0.5,plz-plz-gs,250,1.56,0.12,17,0.89,1,90,9,0,0.24,0.08,0,750,1.61,0.12,13,0.68,1,90,9,0,0.24,0.08,0,1500,1.78,0.14,2.5,0.12,18,16,66,0,0.16,0.17
120,,,gl-pl,,1,3,C,1000,0.5,0.5,gl-pl-pl,250,1.51,0.15,2.52,0.7,11.2,26.9,67.8,0,0.16,0.15,0,750,1.5,0.19,90,0.8,30,10,40,10,0.16,0.15,0,1500,1.51,0.15,80,0.2,30,15,35,20,0.16,0.15
121,,,pglp-gl,,1,3,B,1000,0.5,0.5,pglp-gl-gl,250,1.56,0.13,20,1.45,7,9,84,0,0.2,0.16,0,750,1.56,0.13,2.42,0.6,11.2,26.9,67.8,0,0.16,0.15,0,1500,1.62,0.11,2.3,0.4,11.2,26.9,67.8,0,0.16,0.15
122,,,M-gl,,1,3,A,1000,0.5,0.5,M-gl-gl,250,0.7,0.3,252,17.4,5,6,89,0,0.22,0.1,0,750,1.56,0.13,2.42,0.6,11.2,26.9,67.8,0,0.16,0.15,0,1500,1.62,0.11,2.3,0.4,11.2,26.9,67.8,0,0.16,0.15
125,,,z,,1,3,A,1000,0.5,0.5,z-z-z,250,2.3,0.1,18,0.3,3,17,80,78,0.23,0.01,0,750,2,0.1,14,0,6,14,80,69,0.23,0.01,0,1500,1.8,0.1,14,0,10,10,80,50,0.23,0.01
126,,,i-gc,,1,3,D,1000,0.5,0.5,i-gc-gc,250,1.3,0.13,27.4,0.95,60,20,20,0,0.22,0.41,0,750,1.7,0.1,7.5,0.2,18.7,50.6,30.7,0,0.17,0.1,0,1500,1.7,0.1,7.5,0.2,18.7,50.6,30.7,0,0.17,0.1
127,,,pgmp-pl,,1,3,B,1000,0.5,0.5,pgmp-pl-pl,250,1.53,0.12,5,1.45,9,13,78,0,0.2,0.17,0,750,1.5,0.19,90,0.8,30,10,40,10,0.16,0.15,0,1500,1.51,0.15,80,0.2,30,15,35,20,0.16,0.15
128,,,pg-gl,,1,3,B,1000,0.5,0.5,pg-gl-gl,250,1.54,0.11,20,1.45,7,9,84,0,0.2,0.16,0,750,1.56,0.13,2.52,0.7,11.2,26.9,67.8,0,0.16,0.15,0,1500,1.62,0.11,2.4,0.4,11.2,26.9,67.8,0,0.16,0.15
129,,,ps-zp,,1,3,B,1000,0.5,0.5,ps-ps-g,250,1.46,0.13,50,1.04,5,6,89,0,0.22,0.11,0,750,2,0.1,14,0,6,14,80,69,0.23,0.01,0,1500,1.8,0.1,14,0,10,10,80,50,0.23,0.01
135,,,plz-pl,,1,3,C,1000,0.5,0.5,plz-pl-pl,250,1.56,0.12,17,0.89,1,90,9,0,0.24,0.08,0,750,1.5,0.19,10,0.8,30,10,40,10,0.16,0.15,0,1500,1.51,0.15,80,0.2,30,15,35,20,0.16,0.15
137,,,plz-gc,,1,3,C,1000,0.5,0.5,plz-gc-gc,250,1.56,0.12,17,0.89,1,90,9,0,0.24,0.08,0,750,1.7,0.1,7.5,0.2,18.7,50.6,30.7,0,0.17,0.1,0,1500,1.7,0.1,7.5,0.2,18.7,50.6,30.7,0,0.17,0.1
138,,,ps-gs,,1,3,B,1000,0.5,0.5,ps-ps-gs,250,1.46,0.13,50,1.04,5,6,89,0,0.22,0.11,0,750,1.55,0.11,50,0.29,5,6,89,0,0.22,0.1,0,1500,1.78,0.14,2.5,0.12,18,16,66,0,0.16,0.17
140,,,ps-plz,,1,3,B,1000,0.5,0.5,ps-ps-plz,250,1.46,0.13,50,1.04,5,6,89,0,0.22,0.11,0,750,1.55,0.11,50,0.29,5,6,89,0,0.22,0.1,0,1500,1.67,0.11,13,0.58,1,90,9,0,0.24,0.08
144,,,plz-ps,,1,3,C,1000,0.5,0.5,plz-ps-ps,250,1.56,0.12,17,0.89,1,90,9,0,0.24,0.08,0,750,1.55,0.11,50,0.29,5,6,89,0,0.22,0.1,0,1500,1.63,0.09,40,0.06,5,6,89,0,0.22,0.1
145,,,Tn-gl,,1,3,B,1000,0.5,0.5,tn-tn-gl,200,0.64,0.34,120,40,80,0,0,0,0.01,0.03,0,650,0.64,0.3,120,36,80,0,0,0,0.01,0.01,0,1500,1.62,0.11,2.3,0.4,11.2,26.9,67.8,0,0.16,0.15
150,,,pgl-pgm,,1,3,B,1000,0.5,0.5,ps-ps-g,250,1.46,0.13,50,1.04,5,6,89,0,0.22,0.11,0,750,1.55,0.11,100,0.29,5,6,89,0,0.22,0.1,0,1500,1.63,0.09,100,0.06,5,6,89,0,0.22,0.1
151,,,ps-pgl,,1,3,B,1000,0.5,0.5,ps-ps-g,250,1.46,0.13,50,1.04,5,6,89,0,0.22,0.11,0,750,1.55,0.11,100,0.29,5,6,89,0,0.22,0.1,0,1500,1.63,0.09,100,0.06,5,6,89,0,0.22,0.1
152,,,ps-pgl,,1,3,B,1000,0.5,0.5,ps-pgl-pgl,250,1.46,0.13,50,1.04,5,6,89,0,0.22,0.11,0,750,1.65,0.13,40,0.52,7,9,84,0,0.2,0.13,0,1500,1.65,0.13,40,0.52,7,9,84,0,0.2,0.13
153,,,plz-pgl,,1,3,C,1000,0.5,0.5,plz-pgl-pgl,250,1.56,0.12,17,0.89,1,90,9,0,0.24,0.08,0,750,1.65,0.13,40,0.52,7,9,84,0,0.2,0.13,0,1500,1.65,0.13,40,0.52,7,9,84,0,0.2,0.13
155,,,pgmp-plz,,1,3,B,1000,0.5,0.5,ps-ps-g,250,1.46,0.13,50,1.04,5,6,89,0,0.22,0.11,0,750,1.55,0.11,100,0.29,5,6,89,0,0.22,0.1,0,1500,1.63,0.09,100,0.06,5,6,89,0,0.22,0.1
182,,,M-zp,,1,3,B,1000,0.5,0.5,ps-ps-g,250,1.46,0.13,50,1.04,5,6,89,0,0.22,0.11,0,750,1.55,0.11,100,0.29,5,6,89,0,0.22,0.1,0,1500,1.63,0.09,100,0.06,5,6,89,0,0.22,0.1
187,,,pl-plz,,1,3,B,1000,0.5,0.5,ps-ps-g,250,1.46,0.13,50,1.04,5,6,89,0,0.22,0.11,0,750,1.55,0.11,100,0.29,5,6,89,0,0.22,0.1,0,1500,1.63,0.09,100,0.06,5,6,89,0,0.22,0.1
