"nlayers","snam","hydgrp","anion_excl","sol_zmx","sol_crk","sol_bd1","sol_z1","sol_awc1","sol_cbn1","sol_k1","clay1","sand1","silt1","rock1","sol_alb1","sol_ec1","usle_k1","sol_bd2","sol_z2","sol_awc2","sol_cbn2","sol_k2","clay2","sand2","silt2","rock2","sol_ec2","usle_k2","sol_bd3","sol_z3","sol_awc3","sol_cbn3","sol_k3","clay3","sand3","silt3","rock3","sol_ec3","usle_k3","sol_no31","sol_no32","sol_no33","sol_orgn1","sol_orgn2","sol_labp1","sol_orgn3","sol_labp2","sol_labp3","sol_orgp1","sol_orgp2","prerco_sub","sol_orgp3","sol_alb2","sol_ph1","id","sol_alb3"
3,"pgm/pgl","C",0.5,1000,0.5,1.55,250,0.15,1.28,10.8,7,84,9,0,0.2,0,0.13,1.65,750,0.13,0.52,40,7,84,9,0,0,0.13,1.65,1500,0.13,0.52,40,7,84,9,0,0,0.13,11.4,3.6,2.2,1142.2,363.6,0,217,0,0,612.41,341.8,10,288.81,0.2,0,45,0.2
3,"pgm/pl","B",0.5,1000,0.5,1.55,250,0.15,1.28,10.8,7,84,9,0,0.2,0,0.13,1.5,750,0.19,0.8,90,30,40,10,10,0,0.15,1.51,1500,0.15,0.2,80,30,35,15,20,0,0.15,9.8,3.7,2.5,979.6,373.5,0,251.3,0,0,616.17,353.79,10,329.05,0.16,0,46,0.16
3,"pgmp/gl","B",0.5,1000,0.5,1.53,250,0.12,1.45,5,9,78,13,0,0.2,0,0.17,1.56,750,0.13,0.6,2.42,11.2,67.8,26.9,0,0,0.15,1.62,1500,0.11,0.4,2.3,11.2,67.8,26.9,0,0,0.15,10.6,4.7,2.6,1059.7,466.8,0,255.6,0,0,612.18,325.9,10,286.1,0.16,0,47,0.16
3,"pl","A",0.5,1000,0.5,1.35,200,0.19,2,100,22,48,30,0,0.16,0,0.17,1.5,750,0.19,0.8,90,30,40,10,10,0,0.15,1.51,1500,0.15,0.2,80,30,35,15,20,0,0.15,11,3.6,2.6,1098.4,363.8,0,255.9,0,0,618.84,356.11,10,363.25,0.16,0,48,0.16
3,"pli","D",0.5,1000,0.5,1.27,250,0.23,2.11,17,18,15,67,0,0.1,0,0.49,1.35,750,0.23,0.97,9,20,22,58,0,0,0.43,1.35,1500,0.23,0.97,9,20,22,58,0,0,0.43,14.1,5.6,3.3,1413.3,555,0,332.9,0,0,621.14,343.54,10,329.16,0.2,0,49,0.2
3,"pli/gs","D",0.5,1000,0.5,1.27,250,0.23,2.11,17,18,15,67,0,0.1,0,0.49,1.67,750,0.18,0.3,7.5,9,59.4,31.6,0,0,0.1,1.78,1500,0.14,0.12,2.5,18,66,16,0,0,0.17,10.4,3.5,2.2,1044.8,353.4,0,222.4,0,0,612.61,334.07,10,339,0.22,0,50,0.16
3,"plp","B",0.5,1000,0.5,1.35,200,0.19,2,1.8,22,48,30,0,0.16,0,0.17,1.5,750,0.19,0.8,80,30,40,10,10,0,0.15,1.51,1500,0.15,0.2,70,30,35,15,20,0,0.15,10.4,3.8,2.6,1036,384.5,0,257.5,0,0,617.29,352.8,10,363.25,0.16,0,51,0.16
3,"pls","B",0.5,1000,0.5,1.35,200,0.19,2,1.8,22,48,30,0,0.16,0,0.17,1.5,750,0.19,0.8,60,30,40,10,10,0,0.15,1.51,1500,0.15,0.2,50,30,35,15,20,0,0.15,10.4,3.8,2.6,1039.1,379.9,0,257.7,0,0,618.36,352.8,10,367.77,0.16,0,52,0.16
3,"plz","C",0.5,1000,0.5,1.56,250,0.12,0.89,17,1,9,90,0,0.24,0,0.08,1.61,750,0.11,0.68,9,1,9,90,0,0,0.08,1.67,1500,0.11,0.58,2,1,9,90,0,0,0.08,12.1,3.9,2.6,1210.4,386.1,0,258.6,0,0,616.6,344.39,10,277.72,0.24,0,53,0.24
3,"plz//gl","C",0.5,1000,0.5,1.56,250,0.12,0.89,17,1,9,90,0,0.24,0,0.08,1.61,750,0.12,0.68,13,1,9,90,0,0,0.08,1.62,1500,0.11,0.4,2.3,11.2,67.8,26.9,0,0,0.15,11.6,3.7,2.4,1159.3,366.7,0,244.8,0,0,614.9,336.78,10,284.58,0.24,0,54,0.16
3,"plz/pli","C",0.5,1000,0.5,1.56,250,0.12,0.89,17,1,9,90,0,0.24,0,0.08,1.35,750,0.23,0.97,9,20,22,58,0,0,0.43,1.35,1500,0.23,0.97,9,20,22,58,0,0,0.43,15.2,4.4,3,1520.1,439.9,0,302.1,0,0,618.76,349.25,10,309.38,0.2,0,55,0.2
3,"ps","B",0.5,1000,0.5,1.46,250,0.13,1.04,50,5,89,6,0,0.22,0,0.11,1.55,750,0.11,0.29,50,5,89,6,0,0,0.1,1.63,1500,0.09,0.06,30,5,89,6,0,0,0.1,8.6,3.3,2.1,857.6,330.1,0,213,0,0,612.76,338.66,10,312.41,0.22,0,56,0.22
3,"ps//gl","B",0.5,1000,0.5,1.46,250,0.12,1.04,50,5,89,6,0,0.22,0,0.11,1.56,750,0.11,0.7,50,5,89,6,0,0,0.15,1.62,1500,0.09,0.06,2.4,11.2,67.8,26.9,0,0,0.1,8.7,3.6,2.4,866.7,358.4,0,241.2,0,0,612.76,338.66,10,312.67,0.16,0,57,0.22
3,"ps//gs","B",0.5,1000,0.5,1.46,250,0.13,1.04,50,5,89,6,0,0.22,0,0.11,1.55,750,0.11,0.29,50,5,89,6,0,0,0.1,1.78,1500,0.14,0.12,2.5,18,66,16,0,0,0.17,9.1,3.4,2.1,914.8,343.3,0,210.4,0,0,611.92,339.32,10,312.41,0.22,0,58,0.16
3,"ps//pl","A",0.5,1000,0.5,1.46,250,0.12,1.04,50,5,89,6,0,0.22,0,0.11,1.55,750,0.11,0.69,50,5,89,6,0,0,0.1,1.61,1500,0.15,0.39,85,2,94,4,0,0,0.08,10.3,4.3,2.5,1025.5,430.2,0,247.3,0,0,613.78,345.88,10,290.39,0.22,0,59,0.24
3,"ps//plz","B",0.5,1000,0.5,1.46,250,0.13,1.04,50,5,89,6,0,0.22,0,0.11,1.55,750,0.11,0.29,50,5,89,6,0,0,0.1,1.67,1500,0.11,0.58,13,1,9,90,0,0,0.08,11,4.8,2.4,1098.6,475.7,0,240.5,0,0,614.46,344.71,10,283.33,0.22,0,60,0.24
3,"ps/pl","A",0.5,1000,0.5,1.46,250,0.13,1.04,50,5,89,6,0,0.22,0,0.11,1.56,750,0.11,0.89,90,2,94,4,0,0,0.08,1.62,1500,0.15,0.69,80,2,94,4,0,0,0.08,11.4,4.8,2.8,1142.9,478.8,0,284.3,0,0,613.46,345.88,10,287.45,0.24,0,61,0.24
3,"ps/zp","B",0.5,1000,0.5,1.46,250,0.13,1.04,50,5,89,6,0,0.22,0,0.11,2,750,0.1,0,14,6,80,14,69,0,0.01,1.8,1500,0.1,0,14,10,80,10,50,0,0.01,8.4,3.2,2.1,841.2,320.8,0,213.8,0,0,168.04,116.35,10,124.7,0.23,0,62,0.23
3,"z","A",0.5,1000,0.5,2.3,250,0.1,0.3,18,3,80,17,78,0.23,0,0.01,2,750,0.1,0,14,6,80,14,69,0,0.01,1.8,1500,0.1,0,14,10,80,10,50,0,0.01,1,1,1,100,100,0,100,0,0,50,50,10,50,0.23,0,63,0.23
